nm,A
736.00,-0.007
737.00,-0.004
738.00,-0.008
739.00,-0.005
740.00,-0.004
741.00,-0.005
742.00,-0.006
743.00,-0.004
744.00,-0.005
745.00,-0.004
746.00,-0.003
747.00,-0.005
748.00,-0.005
749.00,-0.004
750.00,-0.007
751.00,-0.004
752.00,-0.006
753.00,-0.004
754.00,-0.005
755.00,-0.007
756.00,-0.007
757.00,-0.006
758.00,-0.006
759.00,-0.005
760.00,-0.004
761.00,-0.005
762.00,-0.004
763.00,-0.005
764.00,-0.006
765.00,-0.005
766.00,-0.006
767.00,-0.005
768.00,-0.007
769.00,-0.005
770.00,-0.006
771.00,-0.005
772.00,-0.006
773.00,-0.006
774.00,-0.005
775.00,-0.005
776.00,-0.005
777.00,-0.005
778.00,-0.003
779.00,-0.005
780.00,-0.008
781.00,-0.005
782.00,-0.005
783.00,-0.005
784.00,-0.005
785.00,-0.005
786.00,-0.004
787.00,-0.004
788.00,-0.004
789.00,-0.005
790.00,-0.003
791.00,-0.005
792.00,-0.004
793.00,-0.003
794.00,-0.004
795.00,-0.005
796.00,-0.005
797.00,-0.004
798.00,-0.004
799.00,-0.006
800.00,-0.005
