nm,A
300.00,0.239
301.00,0.230
302.00,0.212
303.00,0.202
304.00,0.176
305.00,0.160
306.00,0.149
307.00,0.132
308.00,0.117
309.00,0.104
310.00,0.105
311.00,0.093
312.00,0.080
313.00,0.076
314.00,0.075
315.00,0.079
316.00,0.090
317.00,0.077
318.00,0.073
319.00,0.077
320.00,0.073
321.00,0.070
322.00,0.064
323.00,0.070
324.00,0.066
325.00,0.066
326.00,0.061
327.00,0.062
328.00,0.068
329.00,0.055
330.00,0.062
331.00,0.054
332.00,0.043
333.00,0.051
334.00,0.043
335.00,0.033
336.00,0.033
337.00,0.029
338.00,0.025
339.00,0.023
340.00,0.030
341.00,0.020
342.00,0.023
343.00,0.009
344.00,0.023
345.00,0.009
346.00,0.007
347.00,0.021
348.00,0.016
349.00,0.013
350.00,0.012
351.00,0.010
352.00,0.007
353.00,0.002
354.00,0.016
355.00,0.003
356.00,0.009
357.00,0.013
358.00,0.017
359.00,-0.003
360.00,0.000
361.00,-0.003
362.00,-0.005
363.00,0.005
364.00,0.008
365.00,-0.002
366.00,0.002
367.00,0.007
368.00,0.007
369.00,0.010
370.00,-0.001
371.00,0.005
372.00,0.003
373.00,0.006
374.00,0.008
375.00,0.001
376.00,0.007
377.00,0.007
378.00,-0.003
379.00,-0.006
380.00,0.015
381.00,0.005
382.00,0.002
383.00,0.002
384.00,0.004
385.00,0.001
386.00,0.007
387.00,0.006
388.00,0.003
389.00,0.014
390.00,0.002
391.00,0.007
392.00,0.006
393.00,0.008
394.00,0.008
395.00,0.013
396.00,0.003
397.00,0.008
398.00,0.009
399.00,0.003
400.00,0.006
401.00,0.005
402.00,0.001
403.00,0.001
404.00,-0.004
405.00,0.005
406.00,0.011
407.00,0.007
408.00,0.006
409.00,-0.001
410.00,0.002
411.00,-0.002
412.00,0.002
413.00,-0.003
414.00,-0.003
415.00,-0.002
416.00,-0.002
417.00,0.003
418.00,-0.004
419.00,0.002
420.00,0.002
421.00,0.004
422.00,-0.010
423.00,-0.007
424.00,-0.001
425.00,-0.005
426.00,0.000
427.00,-0.004
428.00,-0.005
429.00,0.004
430.00,0.002
431.00,0.004
432.00,-0.001
433.00,-0.002
434.00,-0.003
435.00,0.003
436.00,0.003
437.00,-0.002
438.00,-0.003
439.00,0.000
440.00,0.001
441.00,0.003
442.00,0.002
443.00,-0.002
444.00,0.008
445.00,-0.003
446.00,-0.001
447.00,0.008
448.00,0.006
449.00,0.009
450.00,0.004
451.00,0.001
452.00,0.000
453.00,0.003
454.00,0.007
455.00,0.006
456.00,0.005
457.00,-0.001
458.00,0.011
459.00,0.008
460.00,0.007
461.00,0.010
462.00,0.012
463.00,0.005
464.00,0.001
465.00,0.004
466.00,0.011
467.00,0.011
468.00,0.014
469.00,0.006
470.00,0.013
471.00,0.005
472.00,0.007
473.00,0.010
474.00,0.003
475.00,0.011
476.00,0.006
477.00,0.008
478.00,0.008
479.00,0.010
480.00,0.014
481.00,0.007
482.00,0.009
483.00,0.014
484.00,0.008
485.00,0.019
486.00,0.015
487.00,0.017
488.00,0.008
489.00,0.016
490.00,0.015
491.00,0.018
492.00,0.012
493.00,0.018
494.00,0.018
495.00,0.016
496.00,0.019
497.00,0.015
498.00,0.021
499.00,0.020
500.00,0.018
501.00,0.021
502.00,0.017
503.00,0.020
504.00,0.018
505.00,0.018
506.00,0.019
507.00,0.018
508.00,0.020
509.00,0.024
510.00,0.018
511.00,0.011
512.00,0.021
513.00,0.022
514.00,0.017
515.00,0.020
516.00,0.015
517.00,0.016
518.00,0.017
519.00,0.021
520.00,0.021
521.00,0.017
522.00,0.017
523.00,0.018
524.00,0.018
525.00,0.018
526.00,0.022
527.00,0.022
528.00,0.025
529.00,0.024
530.00,0.022
531.00,0.029
532.00,0.024
533.00,0.025
534.00,0.027
535.00,0.025
536.00,0.028
537.00,0.033
538.00,0.036
539.00,0.032
540.00,0.035
541.00,0.036
542.00,0.039
543.00,0.034
544.00,0.041
545.00,0.040
546.00,0.044
547.00,0.042
548.00,0.050
549.00,0.049
550.00,0.054
551.00,0.055
552.00,0.056
553.00,0.055
554.00,0.064
555.00,0.062
556.00,0.066
557.00,0.066
558.00,0.070
559.00,0.074
560.00,0.077
561.00,0.080
562.00,0.081
563.00,0.084
564.00,0.093
565.00,0.092
566.00,0.096
567.00,0.100
568.00,0.101
569.00,0.104
570.00,0.109
571.00,0.113
572.00,0.118
573.00,0.117
574.00,0.125
575.00,0.131
576.00,0.131
577.00,0.136
578.00,0.140
579.00,0.147
580.00,0.149
581.00,0.154
582.00,0.162
583.00,0.171
584.00,0.175
585.00,0.183
586.00,0.189
587.00,0.195
588.00,0.201
589.00,0.206
590.00,0.216
591.00,0.222
592.00,0.235
593.00,0.241
594.00,0.253
595.00,0.264
596.00,0.268
597.00,0.275
598.00,0.285
599.00,0.297
600.00,0.300
601.00,0.308
602.00,0.317
603.00,0.328
604.00,0.334
605.00,0.341
606.00,0.346
607.00,0.353
608.00,0.358
609.00,0.366
610.00,0.369
611.00,0.373
612.00,0.376
613.00,0.380
614.00,0.384
615.00,0.383
616.00,0.385
617.00,0.390
618.00,0.389
619.00,0.389
620.00,0.391
621.00,0.392
622.00,0.396
623.00,0.395
624.00,0.397
625.00,0.398
626.00,0.402
627.00,0.401
628.00,0.406
629.00,0.411
630.00,0.415
631.00,0.423
632.00,0.425
633.00,0.433
634.00,0.437
635.00,0.449
636.00,0.456
637.00,0.466
638.00,0.471
639.00,0.482
640.00,0.491
641.00,0.506
642.00,0.519
643.00,0.528
644.00,0.540
645.00,0.551
646.00,0.564
647.00,0.577
648.00,0.590
649.00,0.598
650.00,0.614
651.00,0.627
652.00,0.635
653.00,0.647
654.00,0.656
655.00,0.665
656.00,0.675
657.00,0.685
658.00,0.694
659.00,0.699
660.00,0.706
661.00,0.713
662.00,0.716
663.00,0.720
664.00,0.721
665.00,0.719
666.00,0.716
667.00,0.711
668.00,0.701
669.00,0.694
670.00,0.676
671.00,0.662
672.00,0.641
673.00,0.618
674.00,0.595
675.00,0.567
676.00,0.537
677.00,0.504
678.00,0.476
679.00,0.444
680.00,0.411
681.00,0.381
682.00,0.353
683.00,0.324
684.00,0.293
685.00,0.270
686.00,0.239
687.00,0.219
688.00,0.196
689.00,0.176
690.00,0.159
691.00,0.142
692.00,0.126
693.00,0.110
694.00,0.099
695.00,0.089
696.00,0.080
697.00,0.069
698.00,0.061
699.00,0.053
700.00,0.048
701.00,0.043
702.00,0.039
703.00,0.032
704.00,0.029
705.00,0.024
706.00,0.021
707.00,0.019
708.00,0.015
709.00,0.013
710.00,0.011
711.00,0.012
712.00,0.010
713.00,0.005
714.00,0.005
715.00,0.006
716.00,0.003
717.00,0.003
718.00,0.002
719.00,0.001
720.00,0.002
721.00,-0.002
722.00,-0.002
723.00,-0.001
724.00,0.000
725.00,-0.004
726.00,-0.002
727.00,-0.004
728.00,-0.003
729.00,-0.004
730.00,-0.004
731.00,-0.002
732.00,-0.002
733.00,-0.004
734.00,-0.005
735.00,-0.005
