Batch	scan009
EV300 164202	100%T Baseline Correction
60-2 Cycle01	2025/10/23 06:13:41¤U¤È
nm	A
300.00	0.022
301.00	0.021
302.00	0.029
303.00	0.025
304.00	0.011
305.00	0.030
306.00	0.029
307.00	0.021
308.00	0.012
309.00	0.004
310.00	0.014
311.00	0.016
312.00	0.004
313.00	0.002
314.00	0.014
315.00	0.014
316.00	0.020
317.00	0.010
318.00	0.009
319.00	0.012
320.00	0.005
321.00	0.005
322.00	0.014
323.00	0.007
324.00	0.014
325.00	0.008
326.00	0.003
327.00	0.001
328.00	0.019
329.00	0.007
330.00	0.003
331.00	0.008
332.00	0.006
333.00	0.012
334.00	0.007
335.00	0.000
336.00	0.000
337.00	0.001
338.00	0.000
339.00	0.009
340.00	0.009
341.00	0.010
342.00	0.012
343.00	-0.001
344.00	0.006
345.00	0.004
346.00	0.000
347.00	0.011
348.00	0.001
349.00	0.007
350.00	0.008
351.00	0.008
352.00	0.003
353.00	-0.006
354.00	0.010
355.00	0.005
356.00	-0.005
357.00	0.011
358.00	0.006
359.00	-0.001
360.00	-0.015
361.00	-0.004
362.00	-0.007
363.00	-0.011
364.00	0.002
365.00	-0.008
366.00	-0.006
367.00	-0.001
368.00	-0.005
369.00	0.006
370.00	-0.004
371.00	0.008
372.00	0.006
373.00	0.010
374.00	0.004
375.00	0.000
376.00	0.008
377.00	0.006
378.00	-0.002
379.00	0.000
380.00	0.004
381.00	0.008
382.00	0.001
383.00	-0.002
384.00	0.004
385.00	-0.001
386.00	0.004
387.00	0.005
388.00	0.001
389.00	-0.001
390.00	-0.004
391.00	0.001
392.00	0.002
393.00	0.005
394.00	0.003
395.00	0.007
396.00	-0.006
397.00	0.004
398.00	-0.005
399.00	0.003
400.00	0.007
401.00	0.000
402.00	-0.001
403.00	-0.004
404.00	-0.007
405.00	0.003
406.00	0.004
407.00	0.004
408.00	-0.001
409.00	-0.006
410.00	0.002
411.00	-0.001
412.00	-0.005
413.00	0.000
414.00	-0.004
415.00	-0.004
416.00	-0.001
417.00	-0.001
418.00	-0.001
419.00	0.003
420.00	-0.002
421.00	0.002
422.00	-0.014
423.00	-0.006
424.00	-0.003
425.00	-0.002
426.00	-0.002
427.00	-0.002
428.00	-0.001
429.00	0.001
430.00	0.001
431.00	-0.002
432.00	-0.008
433.00	-0.002
434.00	-0.010
435.00	-0.006
436.00	0.002
437.00	-0.011
438.00	0.003
439.00	-0.007
440.00	-0.013
441.00	-0.003
442.00	-0.003
443.00	0.001
444.00	0.002
445.00	-0.014
446.00	-0.004
447.00	0.003
448.00	0.002
449.00	0.000
450.00	0.003
451.00	-0.005
452.00	-0.009
453.00	-0.009
454.00	-0.005
455.00	-0.004
456.00	0.000
457.00	-0.004
458.00	-0.003
459.00	-0.003
460.00	-0.001
461.00	-0.001
462.00	0.001
463.00	-0.013
464.00	0.000
465.00	-0.005
466.00	-0.005
467.00	-0.001
468.00	0.001
469.00	-0.007
470.00	0.001
471.00	-0.007
472.00	-0.005
473.00	-0.004
474.00	-0.011
475.00	-0.002
476.00	-0.010
477.00	-0.011
478.00	-0.003
479.00	-0.001
480.00	-0.001
481.00	-0.008
482.00	-0.005
483.00	-0.007
484.00	-0.008
485.00	0.001
486.00	-0.003
487.00	-0.002
488.00	-0.011
489.00	-0.006
490.00	-0.012
491.00	-0.007
492.00	-0.006
493.00	-0.006
494.00	-0.004
495.00	-0.003
496.00	-0.005
497.00	-0.010
498.00	-0.004
499.00	-0.002
500.00	0.001
501.00	-0.001
502.00	-0.003
503.00	-0.002
504.00	-0.004
505.00	-0.005
506.00	-0.005
507.00	-0.002
508.00	0.000
