nm,A
300.00,-0.014
301.00,-0.005
302.00,-0.004
303.00,-0.003
304.00,-0.010
305.00,0.000
306.00,-0.002
307.00,-0.012
308.00,-0.007
309.00,-0.020
310.00,-0.007
311.00,-0.013
312.00,-0.018
313.00,-0.016
314.00,-0.016
315.00,-0.007
316.00,-0.009
317.00,-0.015
318.00,-0.012
319.00,-0.009
320.00,-0.010
321.00,-0.014
322.00,-0.014
323.00,-0.019
324.00,-0.015
325.00,-0.017
326.00,-0.016
327.00,-0.023
328.00,-0.003
329.00,-0.019
330.00,-0.012
331.00,-0.013
332.00,-0.016
333.00,-0.011
334.00,-0.012
335.00,-0.018
336.00,-0.018
337.00,-0.020
338.00,-0.018
339.00,-0.015
340.00,-0.011
341.00,-0.015
342.00,-0.009
343.00,-0.024
344.00,-0.005
345.00,-0.015
346.00,-0.019
347.00,-0.012
348.00,-0.013
349.00,-0.005
350.00,-0.010
351.00,-0.013
352.00,-0.020
353.00,-0.017
354.00,0.001
355.00,-0.010
356.00,-0.018
357.00,-0.007
358.00,-0.009
359.00,-0.012
360.00,-0.012
361.00,-0.019
362.00,-0.018
363.00,-0.020
364.00,-0.005
365.00,-0.020
366.00,-0.019
367.00,-0.008
368.00,-0.018
369.00,-0.002
370.00,-0.012
371.00,-0.008
372.00,-0.009
373.00,-0.007
374.00,-0.008
375.00,-0.009
376.00,-0.001
377.00,-0.007
378.00,-0.013
379.00,-0.010
380.00,-0.006
381.00,-0.009
382.00,-0.011
383.00,-0.013
384.00,-0.013
385.00,-0.012
386.00,-0.007
387.00,-0.003
388.00,-0.010
389.00,-0.004
390.00,-0.008
391.00,-0.007
392.00,-0.010
393.00,-0.011
394.00,-0.010
395.00,-0.003
396.00,-0.013
397.00,0.002
398.00,-0.008
399.00,-0.007
400.00,-0.005
401.00,-0.004
402.00,-0.001
403.00,-0.008
404.00,-0.012
405.00,-0.002
406.00,0.001
407.00,-0.007
408.00,-0.007
409.00,-0.005
410.00,-0.008
411.00,-0.006
412.00,-0.008
413.00,-0.004
414.00,-0.011
415.00,-0.009
416.00,-0.014
417.00,-0.002
418.00,-0.005
419.00,-0.001
420.00,-0.002
421.00,-0.008
422.00,-0.009
423.00,-0.009
424.00,-0.011
425.00,-0.005
426.00,-0.002
427.00,-0.008
428.00,0.001
429.00,-0.006
430.00,-0.005
431.00,-0.004
432.00,-0.014
433.00,-0.006
434.00,-0.014
435.00,-0.008
436.00,-0.007
437.00,-0.005
438.00,-0.007
439.00,-0.010
440.00,-0.009
441.00,-0.001
442.00,-0.003
443.00,-0.008
444.00,-0.009
445.00,-0.019
446.00,-0.006
447.00,-0.007
448.00,0.000
449.00,-0.007
450.00,-0.009
451.00,-0.010
452.00,-0.015
453.00,-0.008
454.00,-0.006
455.00,-0.013
456.00,-0.007
457.00,-0.016
458.00,-0.003
459.00,-0.002
460.00,-0.008
461.00,-0.007
462.00,-0.009
463.00,-0.011
464.00,-0.016
465.00,-0.021
466.00,-0.011
467.00,-0.014
468.00,-0.009
469.00,-0.013
470.00,-0.012
471.00,-0.014
472.00,-0.007
473.00,-0.010
474.00,-0.011
475.00,-0.006
476.00,-0.012
477.00,-0.012
478.00,-0.010
479.00,-0.013
480.00,-0.007
481.00,-0.016
482.00,-0.011
483.00,-0.010
484.00,-0.011
485.00,-0.005
486.00,-0.011
487.00,-0.006
488.00,-0.013
489.00,-0.009
490.00,-0.011
491.00,-0.010
492.00,-0.008
493.00,-0.015
494.00,-0.011
495.00,-0.008
496.00,-0.007
497.00,-0.015
498.00,-0.008
499.00,-0.010
500.00,-0.010
501.00,-0.009
502.00,-0.014
503.00,-0.009
504.00,-0.008
505.00,-0.015
506.00,-0.007
507.00,-0.010
508.00,-0.004
509.00,-0.008
510.00,-0.009
511.00,-0.011
512.00,-0.004
513.00,-0.001
514.00,-0.011
515.00,-0.008
516.00,-0.013
517.00,-0.014
518.00,-0.012
519.00,-0.006
520.00,-0.008
521.00,-0.006
522.00,-0.013
523.00,-0.011
524.00,-0.011
525.00,-0.016
526.00,-0.012
527.00,-0.010
528.00,-0.009
529.00,-0.006
530.00,-0.013
531.00,-0.009
532.00,-0.015
533.00,-0.014
534.00,-0.015
535.00,-0.014
536.00,-0.009
