nm,A
537.00,-0.010
538.00,-0.011
539.00,-0.016
540.00,-0.016
541.00,-0.011
542.00,-0.015
543.00,-0.010
544.00,-0.010
545.00,-0.013
546.00,-0.013
547.00,-0.011
548.00,-0.009
549.00,-0.013
550.00,-0.010
551.00,-0.009
552.00,-0.011
553.00,-0.011
554.00,-0.011
555.00,-0.013
556.00,-0.011
557.00,-0.013
558.00,-0.015
559.00,-0.010
560.00,-0.012
561.00,-0.012
562.00,-0.010
563.00,-0.015
564.00,-0.010
565.00,-0.013
566.00,-0.014
567.00,-0.013
568.00,-0.012
569.00,-0.014
570.00,-0.010
571.00,-0.010
572.00,-0.012
573.00,-0.011
574.00,-0.006
575.00,-0.008
576.00,-0.009
577.00,-0.008
578.00,-0.004
579.00,-0.010
580.00,-0.008
581.00,-0.005
582.00,-0.008
583.00,-0.003
584.00,-0.005
585.00,-0.003
586.00,-0.003
587.00,-0.005
588.00,-0.003
589.00,-0.007
590.00,-0.005
591.00,-0.004
592.00,-0.002
593.00,-0.001
594.00,-0.001
595.00,-0.001
596.00,-0.001
597.00,-0.003
598.00,0.000
599.00,0.003
600.00,0.000
601.00,0.003
602.00,0.000
603.00,0.002
604.00,-0.001
605.00,-0.002
606.00,0.001
607.00,0.001
608.00,-0.001
609.00,0.003
610.00,-0.003
611.00,0.002
612.00,0.003
613.00,0.001
614.00,0.005
615.00,0.001
616.00,0.003
617.00,0.006
618.00,0.004
619.00,0.003
620.00,0.004
621.00,0.003
622.00,0.007
623.00,0.004
624.00,0.004
625.00,0.005
626.00,0.006
627.00,0.002
628.00,0.007
629.00,0.008
630.00,0.005
631.00,0.007
632.00,0.007
633.00,0.009
634.00,0.004
635.00,0.009
636.00,0.009
637.00,0.009
638.00,0.008
639.00,0.009
640.00,0.011
641.00,0.011
642.00,0.015
643.00,0.013
644.00,0.012
645.00,0.015
646.00,0.013
647.00,0.014
648.00,0.015
649.00,0.016
650.00,0.018
651.00,0.019
652.00,0.019
653.00,0.017
654.00,0.017
655.00,0.018
656.00,0.020
657.00,0.021
658.00,0.021
659.00,0.021
660.00,0.021
661.00,0.023
662.00,0.024
663.00,0.024
664.00,0.024
665.00,0.025
666.00,0.023
667.00,0.022
668.00,0.021
669.00,0.024
670.00,0.022
671.00,0.020
672.00,0.019
673.00,0.020
674.00,0.019
675.00,0.018
676.00,0.016
677.00,0.013
678.00,0.014
679.00,0.010
680.00,0.009
681.00,0.009
682.00,0.006
683.00,0.004
684.00,0.004
685.00,0.003
686.00,0.000
687.00,0.002
688.00,-0.001
689.00,-0.001
690.00,-0.002
691.00,-0.004
692.00,-0.003
693.00,-0.008
694.00,-0.007
695.00,-0.007
696.00,-0.007
697.00,-0.007
698.00,-0.008
699.00,-0.007
700.00,-0.010
701.00,-0.006
702.00,-0.007
703.00,-0.012
704.00,-0.008
705.00,-0.010
706.00,-0.011
707.00,-0.012
708.00,-0.011
709.00,-0.011
710.00,-0.012
711.00,-0.010
712.00,-0.010
713.00,-0.011
714.00,-0.014
715.00,-0.014
716.00,-0.013
717.00,-0.013
718.00,-0.012
719.00,-0.012
720.00,-0.011
721.00,-0.012
722.00,-0.012
723.00,-0.012
724.00,-0.010
725.00,-0.012
726.00,-0.010
727.00,-0.012
728.00,-0.012
729.00,-0.011
730.00,-0.011
731.00,-0.010
732.00,-0.011
733.00,-0.011
734.00,-0.011
735.00,-0.010
736.00,-0.012
737.00,-0.012
738.00,-0.012
739.00,-0.012
740.00,-0.011
741.00,-0.011
742.00,-0.010
743.00,-0.009
744.00,-0.011
745.00,-0.009
746.00,-0.009
747.00,-0.009
748.00,-0.010
749.00,-0.009
750.00,-0.010
751.00,-0.009
752.00,-0.009
753.00,-0.009
754.00,-0.008
755.00,-0.010
756.00,-0.010
757.00,-0.009
758.00,-0.008
759.00,-0.007
760.00,-0.009
761.00,-0.006
762.00,-0.007
763.00,-0.008
764.00,-0.009
765.00,-0.008
766.00,-0.008
767.00,-0.007
768.00,-0.008
769.00,-0.008
770.00,-0.011
771.00,-0.008
772.00,-0.008
773.00,-0.008
774.00,-0.009
775.00,-0.008
776.00,-0.006
777.00,-0.008
778.00,-0.008
779.00,-0.009
780.00,-0.008
781.00,-0.007
782.00,-0.008
783.00,-0.006
784.00,-0.006
785.00,-0.008
786.00,-0.006
787.00,-0.006
788.00,-0.005
789.00,-0.005
790.00,-0.007
791.00,-0.008
792.00,-0.006
793.00,-0.006
794.00,-0.005
795.00,-0.007
796.00,-0.007
797.00,-0.005
798.00,-0.007
799.00,-0.007
800.00,-0.005
